suite,test_name,category,passed,expected,actual,error,tolerance,timestamp
Thermodynamic,s_entropy_bounds,thermodynamic,True,"S_k, S_t, S_e in [0, 1]","[{'coords': (0, 0, 0), 'status': 'valid', 'passed': True}, {'coords': (1, 1, 1), 'status': 'valid', 'passed': True}, {'coords': (0.5, 0.5, 0.5), 'status': 'valid', 'passed': True}, {'coords': (0, 0.5, 1), 'status': 'valid', 'passed': True}, {'coords': (-0.1, 0.5, 0.5), 'status': 'correctly_rejected', 'passed': True}, {'coords': (0.5, 1.1, 0.5), 'status': 'correctly_rejected', 'passed': True}, {'coords': (0.5, 0.5, -0.5), 'status': 'correctly_rejected', 'passed': True}]",0.0,0.0,2026-02-28T16:45:03.321281
Thermodynamic,s_entropy_distance_non_negative,thermodynamic,True,d >= 0,0.5196152422706631,0.0,0.0,2026-02-28T16:45:03.321281
Thermodynamic,s_entropy_distance_identity,thermodynamic,True,0.0,0.0,0.0,1e-10,2026-02-28T16:45:03.321281
Thermodynamic,s_entropy_distance_symmetry,thermodynamic,True,"d(p1, p2) = d(p2, p1)","{'d12': 0.5196152422706631, 'd21': 0.5196152422706631}",0.0,1e-10,2026-02-28T16:45:03.321281
Thermodynamic,s_entropy_distance_triangle,thermodynamic,True,"d(p1, p3) <= d(p1, p2) + d(p2, p3)","{'d13': 0.640312423743285, 'd12': 0.5196152422706631, 'd23': 0.6164414002968976, 'sum': 1.136056642567561}",0,1e-10,2026-02-28T16:45:03.321281
Thermodynamic,entropy_uniform_distribution,thermodynamic,True,1.0,0.9999999999999998,2.220446049250313e-16,1e-10,2026-02-28T16:45:03.321281
Thermodynamic,entropy_delta_distribution,thermodynamic,True,0.0,-0.0,0.0,1e-10,2026-02-28T16:45:03.321281
Thermodynamic,entropy_binary_distribution,thermodynamic,True,1.0,1.0,0.0,1e-10,2026-02-28T16:45:03.321281
Thermodynamic,entropy_intermediate,thermodynamic,True,0 < S < 1,0.46899559358928117,0.0,0.0,2026-02-28T16:45:03.321281
Thermodynamic,s_entropy_normalization,thermodynamic,True,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",0.0,1e-10,2026-02-28T16:45:03.321281
Thermodynamic,s_entropy_interpolation,thermodynamic,True,Linear interpolation: p(t) = (1-t)*p1 + t*p2,"[{'t': 0.0, 'expected': (0.0, 0.0, 0.0), 'actual': (0.0, 0.0, 0.0), 'passed': True}, {'t': 0.25, 'expected': (0.25, 0.25, 0.25), 'actual': (0.25, 0.25, 0.25), 'passed': True}, {'t': 0.5, 'expected': (0.5, 0.5, 0.5), 'actual': (0.5, 0.5, 0.5), 'passed': True}, {'t': 0.75, 'expected': (0.75, 0.75, 0.75), 'actual': (0.75, 0.75, 0.75), 'passed': True}, {'t': 1.0, 'expected': (1.0, 1.0, 1.0), 'actual': (1.0, 1.0, 1.0), 'passed': True}]",0.0,1e-10,2026-02-28T16:45:03.321281
Thermodynamic,entropy_estimation_ordering,thermodynamic,True,Ordered trajectory has lower entropy than random,"{'ordered_entropy': 0.7354771018126174, 'random_entropy': 1.3541184956421062}",0.0,0.0,2026-02-28T16:45:03.321281
Thermodynamic,partition_thermodynamic_connection,thermodynamic,True,"C(n) = 2n^2, entropy increases with n","{'test_cases': [{'n': 1, 'capacity': 2, 'expected': 2, 'entropy_proxy': np.float64(0.6931471805599453), 'match': True}, {'n': 2, 'capacity': 8, 'expected': 8, 'entropy_proxy': np.float64(2.0794415416798357), 'match': True}, {'n': 3, 'capacity': 18, 'expected': 18, 'entropy_proxy': np.float64(2.8903717578961645), 'match': True}, {'n': 4, 'capacity': 32, 'expected': 32, 'entropy_proxy': np.float64(3.4657359027997265), 'match': True}, {'n': 5, 'capacity': 50, 'expected': 50, 'entropy_proxy': np.float64(3.912023005428146), 'match': True}, {'n': 6, 'capacity': 72, 'expected': 72, 'entropy_proxy': np.float64(4.276666119016055), 'match': True}, {'n': 7, 'capacity': 98, 'expected': 98, 'entropy_proxy': np.float64(4.584967478670572), 'match': True}], 'entropy_increasing': True}",0.0,0.0,2026-02-28T16:45:03.321281
Thermodynamic,entropy_aggregations,thermodynamic,True,"Total = ||S||, Mean = (S_k + S_t + S_e)/3","[{'point': (0.3, 0.4, 0.5), 'total': {'expected': np.float64(0.7071067811865476), 'actual': 0.7071067811865476, 'match': np.True_}, 'mean': {'expected': np.float64(0.39999999999999997), 'actual': 0.39999999999999997, 'match': np.True_}}, {'point': (0.0, 0.0, 0.0), 'total': {'expected': np.float64(0.0), 'actual': 0.0, 'match': np.True_}, 'mean': {'expected': np.float64(0.0), 'actual': 0.0, 'match': np.True_}}, {'point': (1.0, 1.0, 1.0), 'total': {'expected': np.float64(1.7320508075688772), 'actual': 1.7320508075688772, 'match': np.True_}, 'mean': {'expected': np.float64(1.0), 'actual': 1.0, 'match': np.True_}}, {'point': (0.5, 0.5, 0.5), 'total': {'expected': np.float64(0.8660254037844386), 'actual': 0.8660254037844386, 'match': np.True_}, 'mean': {'expected': np.float64(0.5), 'actual': 0.5, 'match': np.True_}}]",0.0,1e-10,2026-02-28T16:45:03.321281
